address,district
"Шоссе Аэропорта, 25",Агмашенебели
"Шоссе Аэропорта, 73",Агмашенебели
ул. Давида Агмашенебели,Агмашенебели
ул. Давида Агмашенебели 1,Агмашенебели
ул. шоссе аэропорта 25,Агмашенебели
"ул. Давида Агмашенебели, 1",Агмашенебели
"ул. Давида Агмашенебели, 1",Агмашенебели
"ул. Давида Агмашенебели, 13",Агмашенебели
"ул. Давида Агмашенебели, 13а",Агмашенебели
"ул. Давид Агмашенебели, 15а",Агмашенебели
"ул. Петра Багратиони, 161",Агмашенебели
"ул. Петра Багратиони, 163",Агмашенебели
"ул. Петра Багратиони, 198а",Агмашенебели
"ул. Георгия Леонидзе, 2",Агмашенебели
"ул. Давид Агмашенебели, 2",Агмашенебели
"ул. Давида Агмашенебели, 2",Агмашенебели
"ул. Давида Агмашенебели, 2",Агмашенебели
"ул. Давида Агмашенебели, 2",Агмашенебели
"ул. Давида Агмашенебели, 2",Агмашенебели
"ул. Давида Агмашенебели, 2",Агмашенебели
"ул. Давида Агмашенебели, 2",Агмашенебели
"ул. Петра Багратиони, 208",Агмашенебели
"ул. Петра Багратиони, 208",Агмашенебели
"ул. Тбел Абусеридзе, 32",Агмашенебели
"ул. Георгия Леонидзе, 4е",Агмашенебели
"ул. Георгия Леонидзе, 4е",Агмашенебели
"ул. Константина Леонидзе, 4Е",Агмашенебели
"ул. Константина Леонидзе, 4Е",Агмашенебели
"ул. Константина Леонидзе, 4е",Агмашенебели
"ул. Тбел Абусеридзе, 42",Агмашенебели
"ул. Тбел Абусеридзе, 42",Агмашенебели
"ул. Давида Агмашенебели, 44",Агмашенебели
"ул. Пармена Руруа, 5",Агмашенебели
"ул. 2-й поворот Хахули, 41",Агмашенебели
"Евгения Микеладзе второй тупик , 18",Аэропорт
"Подъем Кадира Шервашидзе, 12",Аэропорт
"улица Григола Лорткипанидзе, 2Б",Аэропорт
"улица Григола Лорткипанидзе, 2Б",Аэропорт
"Улица Даута Асамбадзе, 48",Аэропорт
"Улица Фридона Халваши, 95",Аэропорт
"тупик Ангиса 1, 33а",Аэропорт
ул Згвиспирис 10L,Аэропорт
ул Згвиспирис 10L,Аэропорт
шоссе аэропорта 16-23,Аэропорт
"тупик Ангиса 2,  8",Аэропорт
"тупик Ангиса 2, 8",Аэропорт
"переулок Ангиса 3, 8",Аэропорт
"переулок Ангиса 3, 8",Аэропорт
"тупик Ангиса I, 41",Аэропорт
"Шоссе Аэропорта, 120",Аэропорт
"Шоссе Аэропорта, 186",Аэропорт
"Шоссе аэропорта, 196",Аэропорт
"улица Ангиса, 20",Аэропорт
"тупик Ангиса, 3",Аэропорт
"пр-т Фридона Халваши, 364",Аэропорт
"пр-т Шерифа Химшиашвили, 57",Аэропорт
"пр-т Шерифа Химшиашвили, 65а",Аэропорт
"пр-т. Шерифа Химшиашвили, 65",Аэропорт
Площадь: 50 м² / Этаж: 3/3,Аэропорт
ул. Фридона Халваши,Аэропорт
"ул. Леха и Марии Качинских, 19",Аэропорт
"ул. Леха и Марии Качинских, 19",Аэропорт
"ул. Леха и Марии Качинских, 19",Аэропорт
"ул. Леха и Марии Качинских, 5",Аэропорт
ул. Реджеб Нижарадзе  3,Аэропорт
ул. Второй тупик Ангиса 8,Аэропорт
ул. Фридона Халваши 20,Аэропорт
ул. Давида Какабадзе 30,Аэропорт
ул. Шерифа Химшиашвили 57,Аэропорт
ул. Кахи кавсадзе N67,Аэропорт
"ул. Давида Какабадзе, 10",Аэропорт
"ул. Шалвы Инасаридзе, 13",Аэропорт
"ул. Реджеба Нижарадзе, 18",Аэропорт
"ул. Иосифа Гришашвили, 19А",Аэропорт
"ул. Шалвы Инасаридзе, 19",Аэропорт
"ул. Григола Лорткипанидзе, 2",Аэропорт
"ул. Григола Лорткипанидзе, 2б",Аэропорт
"ул. Григола Лорткипанидзе, 20",Аэропорт
"ул. Григола Лорткипанидзе, 24",Аэропорт
"ул. Григола Лорткипанидзе, 24",Аэропорт
"ул. Григола Лорткипанидзе, 24",Аэропорт
"ул. Григола Лорткипанидзе, 24",Аэропорт
"ул. Григола Лорткипанидзе, 24",Аэропорт
"ул. шоссе аэропорта, 257",Аэропорт
"ул. Реджеба Нижарадзе, 3",Аэропорт
"ул. Реджеба Нижарадзе, 3",Аэропорт
"ул. Шерифа Химшиашвили, 47а",Аэропорт
"ул. Шерифа Химшиашвили, 47а",Аэропорт
"ул. Шерифа Химшиашвили, 49",Аэропорт
"ул. Шерифа Химшиашвили, 51",Аэропорт
"ул. Шерифа Химшиашвили, 51",Аэропорт
"ул. Шерифа Химшиашвили, 57",Аэропорт
"ул. Шерифа Химшиашвили, 57",Аэропорт
"ул. Шерифа Химшиашвили, 57",Аэропорт
"ул. Шерифа Химшиашвили, 57",Аэропорт
"ул. Шериф Химшиашвили, 61",Аэропорт
"пр. Шерифа Химшиашвили, 65",Аэропорт
"ул. Шериф Химшиашвили, 65",Аэропорт
"ул. Шерифа Химшиашвили, 65",Аэропорт
"ул. Шерифа Химшиашвили, 65",Аэропорт
"ул. Шерифа Химшиашвили, 65",Аэропорт
"ул. Шерифа Химшиашвили, 65",Аэропорт
"ул. Шерифа Химшиашвили, 65",Аэропорт
"ул. Годердзи Чохели, 71",Аэропорт
"ул. Реджеба Нижарадзе, 9",Аэропорт
ул. Кахабери 1-й переулок 10,Аэропорт
ул. Ангиса 13,Аэропорт
ул. Тадзри 20,Аэропорт
ул. Адлия 6,Аэропорт
"ул. Адлия, 1",Аэропорт
"ул. Ангиса, 1-й переулок, 82",Аэропорт
"ул. Ангиса, 1-й переулок, 82",Аэропорт
"пер. Ангиса, 10",Аэропорт
"ул. Згвиспири, 10Л",Аэропорт
"ул. Адлия, 112",Аэропорт
"ул. Ангиса, 13",Аэропорт
"ул. Ангиса, 13",Аэропорт
"ул. Ангиса, 14",Аэропорт
"ул. Инасаридзе, 15",Аэропорт
"ул. Кавсадзе, 15",Аэропорт
"ул. Мамуладзе, 19",Аэропорт
"пер. Ангиса, 2",Аэропорт
"ул. Адлия, 2",Аэропорт
"ул. Ангиса, 2",Аэропорт
"ул. Адлия, 2/4/6",Аэропорт
"ул. Ангиса, 20",Аэропорт
"ул. Ангиса, 20",Аэропорт
"ул. Ангиса, 23",Аэропорт
"ул. Ангиса, 3",Аэропорт
"ул. Ангиса, 3-й переулок 2",Аэропорт
"ул. Ангиса, 3-й тупик, 10",Аэропорт
"ул. Ангиси, 3-й тупик, 10",Аэропорт
"ул. Ангиса, 33",Аэропорт
"ул. Ангиса, 34",Аэропорт
"ул. Ангиса, 46А",Аэропорт
"ул. Ангиса, 50",Аэропорт
"ул. Адлия, 6",Аэропорт
"ул. Зедагели, 77а",Аэропорт
"ул. Адлия, 89",Аэропорт
"ул. Адлия, 91",Аэропорт
"ул. Адлия, 91",Аэропорт
ул. Д. Мамуладзе 13,Аэропорт
туп. 1-й Дидгори 27,Аэропорт
"туп. 1-й Ангиса, 82",Аэропорт
"туп. 1-й Ангиса, 82",Аэропорт
"ул. 2 тупик Ангиса, 10 NBG Panorama",Аэропорт
"туп. 2-й Михеила Шарашидзе, 67",Аэропорт
"ул. 3 тупик Ангиса ,8",Аэропорт
"туп. 3-й Ангиса, 10",Аэропорт
"туп. 3-й Ангиса, 8",Аэропорт
"1-й переулок Ангиса, 21б",Аэропорт
2-й переулок Ангиса 29/22,Аэропорт
"2-й тупик Ангиса, 10",Аэропорт
"2-й переулок Ангиса, 8",Аэропорт
"2-й переулок Ангиса, 8",Аэропорт
"3 тупик Ангиса ,8",Аэропорт
3-й переулок Ангиса 10,Аэропорт
"Улица Георгия Брцкинвале, 126",Багратиони
"ул Акаки Церетели, 15",Багратиони
"Улица Селима Химшиашвили, 32",Багратиони
Ладо Гудиашвили 12,Багратиони
Анатолия Качарава 5,Багратиони
"пр-т Жиули Шартава, 16",Багратиони
"пр-т Жиули Шартава, 16",Багратиони
ул. Давида Какабадзе,Багратиони
ул. Иосеба Нонешвили,Багратиони
ул. Ладо Гудиашвили,Багратиони
ул. Жиули Шартава 16 block A,Багратиони
ул. Петра Меликишвили 48,Багратиони
ул. Луки Асатиани 62,Багратиони
ул. Лука Асатиани 79,Багратиони
ул. Деметре Тавдадебули 90,Багратиони
"ул. Ноэ Жордания, 10",Багратиони
"ул. Михаила Лермонтова, 101",Багратиони
"ул. Георгия Брцкинвале, 105",Багратиони
"ул. Ильи Чавчавадзе, 107",Багратиони
"ул. Деметре Тавдадебули, 109",Багратиони
"ул. Георгия Брцкинвале, 109/111",Багратиони
"ул. Георгия Брцкинвале, 109/111",Багратиони
"Ул. Ладо Гудиашвили, 12",Багратиони
"ул. Петра Багратиони, 130",Багратиони
"ул. Ладо Гудиашвили, 14",Багратиони
"ул. Ладо Гудиашвили, 14",Багратиони
"ул. Ладо Гудиашвили, 14",Багратиони
"ул. Петра Багратиони, 148",Багратиони
"ул. Александра Пушкина, 150а",Багратиони
"ул. Акакия Багратиони, 153",Багратиони
"ул. Жиули Шартава, 16",Багратиони
"ул. Жиули Шартава, 16",Багратиони
"ул. Жиули Шартава, 16",Багратиони
"ул. Жиули Шартава, 16",Багратиони
"ул. Жиули Шартава, 16",Багратиони
"ул. Жиули Шартава, 16",Багратиони
"ул. Ладо Гудиашвили, 16",Багратиони
"ул. Александра Пушкина, 162 \",Багратиони
"ул. Михаила Ломоносова, 17",Багратиони
"ул. Жиули Шартава, 18",Багратиони
"ул. Жиули Шартава, 18",Багратиони
"ул. Жиули Шартава, 18",Багратиони
"ул. Рафиель Эристави, 2-й тупик, 24",Багратиони
"ул. Жиули Шартава, 22",Багратиони
"ул. Селима Химшиашвили, 22",Багратиони
"ул. Тбел Абусеридзе, 22",Багратиони
"ул. Ивана Джавахишвили, 32",Багратиони
"ул. Петра Багратиони, 32",Багратиони
"ул. Селима Химшиашвили, 32",Багратиони
"ул. Селима Химшиашвили, 32",Багратиони
